name,measurement_unit
rooibos tea,ml
peppermint tea,ml
chamomile tea,ml
hibiscus tea,ml
jasmine tea,ml
ginger tea,ml
turmeric tea,ml
cinnamon sticks,g
star anise,g
peppercorns,g
cayenne pepper,g
chili flakes,g
jalapenos,g
chipotle,g
habanero,g
scotch bonnet,g
poblano,g
serrano,g
anaheim,g
fresno,g
tabasco,g
bell pepper,g
sardines,g
mackerel,g
haddock,g
swordfish,g
sole,g
catfish,g
tilapia,g
barramundi,g
mahi mahi,g
crab,g
mussels,g
scallops,g
prawns,g
caviar,g
chicken thighs,g
chicken wings,g
chicken drumsticks,g
turkey breast,g
duck breast,g
pork belly,g
pork loin,g
bacon,g
ham,g
ground beef,g
lamb,g
elk,g
bison,g
venison,g
sausages,g
prosciutto,g
pancetta,g
salami,g
chorizo,g
pastrami,g
pepperoni,g
corned beef,g
chicken liver,g
beef liver,g
foie gras,g
pheasant,g
partridge,g
guinea fowl,g
emu,g
ostrich,g
boar,g
bear,g
moose,g
kangaroo,g
black beans,g
garbanzo beans,g
fava beans,g
black-eyed peas,g
green peas,g
split peas,g
pigeon peas,g
white rice,g
mortadella,g
capicola,g
bresaola,g
liverwurst,g
black pudding,g
white pudding,g
pate,g
cheese,g
cheddar,g
mozzarella,g
parmesan,g
gouda,g
brie,g
camembert,g
blue cheese,g
feta,g
goat cheese,g
ricotta,g
cottage cheese,g
swiss cheese,g
monterey jack,g
colby jack,g
provolone,g
gorgonzola,g
roquefort,g
stilton,g
manchego,g
asiago,g
pecorino,g
gruyere,g
fontina,g
emmental,g
muenster,g
limburger,g
jarlsberg,g
havarti,g
butterkase,g
brick cheese,g
american cheese,g
vegan cheese,g
almond milk cheese,g
soy cheese,g
cashew cheese,g
wheat germ,g
freekeh,g
cashews,g
hazelnuts,g
macadamia nuts,g
pistachios,g
brazil nuts,g
pine nuts,g
coconut,g
dates,g
figs,g
prunes,g
currants,g
dried cranberries,g
dried cherries,g
dried apricots,g
dried peaches,g
dried mango,g
dried pineapple,g
dried papaya,g
molasses,g
agave syrup,g
corn syrup,g
brown rice syrup,g
stevia,g
monk fruit sweetener,g
coconut sugar,g
date sugar,g
raw sugar,g
brown sugar,g
confectioners' sugar,g
granulated sugar,g
cane sugar,g
malt syrup,g
golden syrup,g
blackstrap molasses,g
sorghum syrup,g
rice bran syrup,g
barley malt syrup,g
cornstarch,g
tapioca starch,g
arrowroot starch,g
potato starch,g
wheat starch,g
cassava flour,g
quinoa flour,g
chickpea flour,g
spelt flour,g
oat flour,g
millet flour,g
barley flour,g
sorghum flour,g
amaranth flour,g
teff flour,g
peanut flour,g
hazelnut flour,g
walnut flour,g
pecan flour,g
pistachio flour,g
macadamia flour,g
flaxseed meal,g
almond meal,g
oat milk,ml
hemp milk,ml
cashew milk,ml
peanut milk,ml
quinoa milk,ml
macadamia milk,ml
